rank;year;title_name;title_id;distributor;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;genres
6533;1984;phar lap;tt0086102;twentieth century fox;13;4;1984;2878404;2878404;;;;biography,drama,family,history,sport
6534;1987;no mans land;tt0093638;orion pictures;23;10;1987;2877571;2877571;;1088273;;crime,drama,thriller
6535;1995;unzipped;tt0114805;miramax;4;8;1995;2875086;2875086;;71275;;documentary
6536;2019;saaho;tt6836936;yash raj films;29;8;2019;5708522;2872057;2836465;1452102;;action,thriller
6537;2012;talaash;tt1787988;reliance big pictures;29;11;2012;5277766;2871956;2405810;1638706;;crime,drama,mystery,thriller
6538;1982;jinxed;tt0084173;metrogoldwynmayer mgm;22;10;1982;2869638;2869638;;1209311;;comedy
6539;1981;gas;tt0082440;paramount pictures;23;7;1981;2869425;2869425;;;;comedy
6540;2019;yip man 4;tt2076298;well go usa entertainment;19;12;2019;137530743;2866676;134664067;737718;;action,biography,drama,history
6541;1991;another you;tt0101356;tristar pictures;26;7;1991;2865916;2865916;;1537965;17000000;comedy,crime
6542;1985;rappin;tt0089883;cannon film distributors;10;5;1985;2864844;2864844;;1802204;;drama,music,musical
6543;1981;modern romance;tt0082764;columbia pictures;13;3;1981;2863642;2863642;;18225;;comedy,romance
6544;2013;home run;tt2051894;the samuel goldwyn company;19;4;2013;2861020;2861020;;1623000;;drama,sport
5166;2018;unsane;tt7153766;bleecker street media;21;3;2018;14293601;7732899;6560702;3762145;;drama,horror,mystery,thriller
6546;1999;existenz;tt0120907;miramax;23;4;1999;2856712;2856712;;810262;15000000;horror,scifi,thriller
6547;1991;the man in the moon;tt0102388;metrogoldwynmayer mgm;4;10;1991;2853801;2853801;;109935;;drama,romance
6548;2013;la grande bellezza;tt2358891;janus films;21;5;2013;21352400;2852400;18500000;23442;;drama
6549;2013;filly brown;tt1869425;lionsgate;19;4;2013;2940411;2850357;90054;1478323;2000000;drama,music
6550;1993;airborne;tt0106233;warner bros;17;9;1993;2850263;2850263;;1262239;;adventure,comedy,sport
6551;1993;the judas project;tt0107284;rs entertainment;19;2;1993;2850135;2850135;;7506;;action,drama,fantasy
6552;2010;letters to god;tt1462054;vivendi entertainment;9;4;2010;3269546;2848578;420968;1088873;3000000;drama,family
5771;2018;colette;tt5437928;bleecker street media;21;9;2018;14273033;5137622;9135411;161179;;biography,drama,history
6554;1995;othello;tt0114057;sony pictures releasing;15;12;1995;2844379;2844379;;29097;;drama,romance
6555;2017;the oscar nominated short films 2017 live action;tt6507954;shorts international;10;2;2017;2877797;2835355;42442;692399;;drama
6556;1988;running on empty;tt0096018;warner bros;9;9;1988;2847941;2835116;12825;215157;;crime,drama,music,romance
6557;2017;kedi;tt4420704;oscilloscope;10;2;2017;5037923;2835047;2202876;40103;;documentary
